ros_time,recv_time_utc,map_x,map_y,map_z,map_roll,map_pitch,map_yaw,latitud,longitud,altitud_m,satelites,hdop,fix_valido,esperando_fix,mensaje_gps,latitude,longitude,altitude,sats,fix_ok,waiting_for_fix,gps_text,tf_ok,doback_ok,doback_age_sec,doback_ax,doback_ay,doback_az,doback_gx,doback_gy,doback_gz,doback_roll,doback_pitch,doback_yaw,doback_si,doback_accmag
1782816092.204631,2026-06-30T10:41:32.204Z,-0.0064806689623018434,-0.036651476069768596,-0.007301990159346324,1.3484571414023431e-06,1.7684873122337512e-10,-0.016328799196767562,38.047221,-4.041935,,7,4.4,1,,chars=314844 sentences_fix=4122 failed_checksum=0 sats=7 hdop=4.4 lat=38.047221 lon=-4.041935 age_ms=362 alt_m=13.1,38.047221,-4.041935,,7,1,,chars=314844 sentences_fix=4122 failed_checksum=0 sats=7 hdop=4.4 lat=38.047221 lon=-4.041935 age_ms=362 alt_m=13.1,1,0,,,,,,,,,,,,
1782816092.210876,2026-06-30T10:41:32.211Z,-0.0064806689623018434,-0.036651476069768596,-0.007301990159346324,1.3484571414023431e-06,1.7684873122337512e-10,-0.016328799196767562,38.047224,-4.041939,,7,4.4,1,,chars=314993 sentences_fix=4124 failed_checksum=0 sats=7 hdop=4.4 lat=38.047224 lon=-4.041939 age_ms=362 alt_m=14.3,38.047224,-4.041939,,7,1,,chars=314993 sentences_fix=4124 failed_checksum=0 sats=7 hdop=4.4 lat=38.047224 lon=-4.041939 age_ms=362 alt_m=14.3,1,0,,,,,,,,,,,,
1782816092.212369,2026-06-30T10:41:32.212Z,-0.0064806689623018434,-0.036651476069768596,-0.007301990159346324,1.3484571414023431e-06,1.7684873122337512e-10,-0.016328799196767562,38.047232,-4.041967,,7,4.4,1,,chars=315142 sentences_fix=4126 failed_checksum=0 sats=7 hdop=4.4 lat=38.047232 lon=-4.041967 age_ms=358 alt_m=18.6,38.047232,-4.041967,,7,1,,chars=315142 sentences_fix=4126 failed_checksum=0 sats=7 hdop=4.4 lat=38.047232 lon=-4.041967 age_ms=358 alt_m=18.6,1,0,,,,,,,,,,,,
1782816092.227414,2026-06-30T10:41:32.227Z,-0.0064806689623018434,-0.036651476069768596,-0.007301990159346324,1.3484571414023431e-06,1.7684873122337512e-10,-0.016328799196767562,38.047227,-4.041965,,7,4.4,1,,chars=315292 sentences_fix=4128 failed_checksum=0 sats=7 hdop=4.4 lat=38.047227 lon=-4.041965 age_ms=363 alt_m=19.1,38.047227,-4.041965,,7,1,,chars=315292 sentences_fix=4128 failed_checksum=0 sats=7 hdop=4.4 lat=38.047227 lon=-4.041965 age_ms=363 alt_m=19.1,1,0,,,,,,,,,,,,
1782816092.231181,2026-06-30T10:41:32.231Z,-0.0055414825846167,-0.037568025389168876,-0.007301988913237018,1.3480766012863312e-06,1.7068952375955438e-10,-0.016041949981141113,38.047232,-4.041969,,7,4.3,1,,chars=315442 sentences_fix=4130 failed_checksum=0 sats=7 hdop=4.3 lat=38.047232 lon=-4.041969 age_ms=361 alt_m=19.6,38.047232,-4.041969,,7,1,,chars=315442 sentences_fix=4130 failed_checksum=0 sats=7 hdop=4.3 lat=38.047232 lon=-4.041969 age_ms=361 alt_m=19.6,1,0,,,,,,,,,,,,
1782816092.232575,2026-06-30T10:41:32.232Z,-0.0055414825846167,-0.037568025389168876,-0.007301988913237018,1.3480766012863312e-06,1.7068952375955438e-10,-0.016041949981141113,38.047234,-4.041973,,7,4.3,1,,chars=315592 sentences_fix=4132 failed_checksum=0 sats=7 hdop=4.3 lat=38.047234 lon=-4.041973 age_ms=361 alt_m=20.2,38.047234,-4.041973,,7,1,,chars=315592 sentences_fix=4132 failed_checksum=0 sats=7 hdop=4.3 lat=38.047234 lon=-4.041973 age_ms=361 alt_m=20.2,1,0,,,,,,,,,,,,
1782816092.239277,2026-06-30T10:41:32.239Z,-0.0055414825846167,-0.037568025389168876,-0.007301988913237018,1.3480766012863312e-06,1.7068952375955438e-10,-0.016041949981141113,38.047237,-4.041977,,7,4.3,1,,chars=315742 sentences_fix=4134 failed_checksum=0 sats=7 hdop=4.3 lat=38.047237 lon=-4.041977 age_ms=361 alt_m=21.1,38.047237,-4.041977,,7,1,,chars=315742 sentences_fix=4134 failed_checksum=0 sats=7 hdop=4.3 lat=38.047237 lon=-4.041977 age_ms=361 alt_m=21.1,1,0,,,,,,,,,,,,
1782816092.241324,2026-06-30T10:41:32.241Z,-0.0055414825846167,-0.037568025389168876,-0.007301988913237018,1.3480766012863312e-06,1.7068952375955438e-10,-0.016041949981141113,38.047226,-4.041971,,7,4.3,1,,chars=315892 sentences_fix=4136 failed_checksum=0 sats=7 hdop=4.3 lat=38.047226 lon=-4.041971 age_ms=368 alt_m=21.0,38.047226,-4.041971,,7,1,,chars=315892 sentences_fix=4136 failed_checksum=0 sats=7 hdop=4.3 lat=38.047226 lon=-4.041971 age_ms=368 alt_m=21.0,1,0,,,,,,,,,,,,
1782816092.576669,2026-06-30T10:41:32.576Z,-0.0034478285041531927,-0.03756508146239235,-0.007264775141918678,1.345331897982014e-06,1.2949901256900042e-10,-0.013973044821311965,38.047219,-4.041965,,7,4.3,1,,chars=316042 sentences_fix=4138 failed_checksum=0 sats=7 hdop=4.3 lat=38.047219 lon=-4.041965 age_ms=368 alt_m=20.5,38.047219,-4.041965,,7,1,,chars=316042 sentences_fix=4138 failed_checksum=0 sats=7 hdop=4.3 lat=38.047219 lon=-4.041965 age_ms=368 alt_m=20.5,1,0,,,,,,,,,,,,
1782816093.62482,2026-06-30T10:41:33.625Z,0.013364626087365316,-0.05769403934457424,-0.007149239499290771,1.3433633364755627e-06,1.0345379476345544e-10,-0.01248921792327492,38.047214,-4.041961,,7,4.3,1,,chars=316192 sentences_fix=4140 failed_checksum=0 sats=7 hdop=4.3 lat=38.047214 lon=-4.041961 age_ms=367 alt_m=20.3,38.047214,-4.041961,,7,1,,chars=316192 sentences_fix=4140 failed_checksum=0 sats=7 hdop=4.3 lat=38.047214 lon=-4.041961 age_ms=367 alt_m=20.3,1,0,,,,,,,,,,,,
