ros_time,recv_time_utc,remote_host,latitud,longitud,altitud_m,satelites,hdop,fix_valido,esperando_fix,mensaje_gps,raw_hex,latitude,longitude,altitude,sats,fix_ok,waiting_for_fix
1782816134.571417,2026-06-30T10:42:14.571Z,100.93.178.118,38.047039,-4.041739,,7,4.2,1,,chars=322314 sentences_fix=4222 failed_checksum=0 sats=7 hdop=4.2 lat=38.047039 lon=-4.041739 age_ms=359 alt_m=17.9,63 68 61 72 73 3d 33 32 32 33 31 34 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 34 32 32 32 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 37 20 68 64 6f 70 3d 34 2e 32 20 6c 61 74 3d 33 38 2e 30 34 37 30 33 39 20 6c 6f 6e 3d 2d 34 2e 30 34 31 37 33 39 20 61 67 65 5f 6d 73 3d 33 35 39 20 61 6c 74 5f 6d 3d 31 37 2e 39 0d 0a,38.047039,-4.041739,,7,1,
1782816135.602812,2026-06-30T10:42:15.603Z,100.93.178.118,38.04703,-4.04173,,7,4.2,1,,chars=322463 sentences_fix=4224 failed_checksum=0 sats=7 hdop=4.2 lat=38.047030 lon=-4.041730 age_ms=360 alt_m=15.9,63 68 61 72 73 3d 33 32 32 34 36 33 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 34 32 32 34 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 37 20 68 64 6f 70 3d 34 2e 32 20 6c 61 74 3d 33 38 2e 30 34 37 30 33 30 20 6c 6f 6e 3d 2d 34 2e 30 34 31 37 33 30 20 61 67 65 5f 6d 73 3d 33 36 30 20 61 6c 74 5f 6d 3d 31 35 2e 39 0d 0a,38.04703,-4.04173,,7,1,
1782816136.579834,2026-06-30T10:42:16.580Z,100.93.178.118,38.047024,-4.041729,,7,4.2,1,,chars=322612 sentences_fix=4226 failed_checksum=0 sats=7 hdop=4.2 lat=38.047024 lon=-4.041729 age_ms=360 alt_m=14.3,63 68 61 72 73 3d 33 32 32 36 31 32 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 34 32 32 36 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 37 20 68 64 6f 70 3d 34 2e 32 20 6c 61 74 3d 33 38 2e 30 34 37 30 32 34 20 6c 6f 6e 3d 2d 34 2e 30 34 31 37 32 39 20 61 67 65 5f 6d 73 3d 33 36 30 20 61 6c 74 5f 6d 3d 31 34 2e 33 0d 0a,38.047024,-4.041729,,7,1,
1782816137.569857,2026-06-30T10:42:17.570Z,100.93.178.118,38.04702,-4.041723,,7,4.2,1,,chars=322761 sentences_fix=4228 failed_checksum=0 sats=7 hdop=4.2 lat=38.047020 lon=-4.041723 age_ms=359 alt_m=12.7,63 68 61 72 73 3d 33 32 32 37 36 31 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 34 32 32 38 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 37 20 68 64 6f 70 3d 34 2e 32 20 6c 61 74 3d 33 38 2e 30 34 37 30 32 30 20 6c 6f 6e 3d 2d 34 2e 30 34 31 37 32 33 20 61 67 65 5f 6d 73 3d 33 35 39 20 61 6c 74 5f 6d 3d 31 32 2e 37 0d 0a,38.04702,-4.041723,,7,1,
1782816138.589766,2026-06-30T10:42:18.589Z,100.93.178.118,38.047017,-4.041718,,7,4.2,1,,chars=322910 sentences_fix=4230 failed_checksum=0 sats=7 hdop=4.2 lat=38.047017 lon=-4.041718 age_ms=361 alt_m=11.5,63 68 61 72 73 3d 33 32 32 39 31 30 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 34 32 33 30 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 37 20 68 64 6f 70 3d 34 2e 32 20 6c 61 74 3d 33 38 2e 30 34 37 30 31 37 20 6c 6f 6e 3d 2d 34 2e 30 34 31 37 31 38 20 61 67 65 5f 6d 73 3d 33 36 31 20 61 6c 74 5f 6d 3d 31 31 2e 35 0d 0a,38.047017,-4.041718,,7,1,
1782816139.580102,2026-06-30T10:42:19.580Z,100.93.178.118,38.047014,-4.041715,,7,4.2,1,,chars=323059 sentences_fix=4232 failed_checksum=0 sats=7 hdop=4.2 lat=38.047014 lon=-4.041715 age_ms=358 alt_m=10.6,63 68 61 72 73 3d 33 32 33 30 35 39 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 34 32 33 32 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 37 20 68 64 6f 70 3d 34 2e 32 20 6c 61 74 3d 33 38 2e 30 34 37 30 31 34 20 6c 6f 6e 3d 2d 34 2e 30 34 31 37 31 35 20 61 67 65 5f 6d 73 3d 33 35 38 20 61 6c 74 5f 6d 3d 31 30 2e 36 0d 0a,38.047014,-4.041715,,7,1,
1782816140.569369,2026-06-30T10:42:20.569Z,100.93.178.118,38.047013,-4.041712,,7,4.2,1,,chars=323207 sentences_fix=4234 failed_checksum=0 sats=7 hdop=4.2 lat=38.047013 lon=-4.041712 age_ms=364 alt_m=9.8,63 68 61 72 73 3d 33 32 33 32 30 37 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 34 32 33 34 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 37 20 68 64 6f 70 3d 34 2e 32 20 6c 61 74 3d 33 38 2e 30 34 37 30 31 33 20 6c 6f 6e 3d 2d 34 2e 30 34 31 37 31 32 20 61 67 65 5f 6d 73 3d 33 36 34 20 61 6c 74 5f 6d 3d 39 2e 38 0d 0a,38.047013,-4.041712,,7,1,
1782816141.600193,2026-06-30T10:42:21.600Z,100.93.178.118,38.047014,-4.041709,,7,4.2,1,,chars=323355 sentences_fix=4236 failed_checksum=0 sats=7 hdop=4.2 lat=38.047014 lon=-4.041709 age_ms=358 alt_m=9.0,63 68 61 72 73 3d 33 32 33 33 35 35 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 34 32 33 36 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 37 20 68 64 6f 70 3d 34 2e 32 20 6c 61 74 3d 33 38 2e 30 34 37 30 31 34 20 6c 6f 6e 3d 2d 34 2e 30 34 31 37 30 39 20 61 67 65 5f 6d 73 3d 33 35 38 20 61 6c 74 5f 6d 3d 39 2e 30 0d 0a,38.047014,-4.041709,,7,1,
1782816142.605564,2026-06-30T10:42:22.605Z,100.93.178.118,38.047021,-4.041698,,7,4.2,1,,chars=323503 sentences_fix=4238 failed_checksum=0 sats=7 hdop=4.2 lat=38.047021 lon=-4.041698 age_ms=358 alt_m=8.4,63 68 61 72 73 3d 33 32 33 35 30 33 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 34 32 33 38 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 37 20 68 64 6f 70 3d 34 2e 32 20 6c 61 74 3d 33 38 2e 30 34 37 30 32 31 20 6c 6f 6e 3d 2d 34 2e 30 34 31 36 39 38 20 61 67 65 5f 6d 73 3d 33 35 38 20 61 6c 74 5f 6d 3d 38 2e 34 0d 0a,38.047021,-4.041698,,7,1,
1782816143.567731,2026-06-30T10:42:23.567Z,100.93.178.118,38.047027,-4.041689,,7,4.2,1,,chars=323651 sentences_fix=4240 failed_checksum=0 sats=7 hdop=4.2 lat=38.047027 lon=-4.041689 age_ms=356 alt_m=7.9,63 68 61 72 73 3d 33 32 33 36 35 31 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 34 32 34 30 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 37 20 68 64 6f 70 3d 34 2e 32 20 6c 61 74 3d 33 38 2e 30 34 37 30 32 37 20 6c 6f 6e 3d 2d 34 2e 30 34 31 36 38 39 20 61 67 65 5f 6d 73 3d 33 35 36 20 61 6c 74 5f 6d 3d 37 2e 39 0d 0a,38.047027,-4.041689,,7,1,
1782816144.620494,2026-06-30T10:42:24.620Z,100.93.178.118,38.047031,-4.041678,,7,4.2,1,,chars=323799 sentences_fix=4242 failed_checksum=0 sats=7 hdop=4.2 lat=38.047031 lon=-4.041678 age_ms=358 alt_m=7.4,63 68 61 72 73 3d 33 32 33 37 39 39 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 34 32 34 32 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 37 20 68 64 6f 70 3d 34 2e 32 20 6c 61 74 3d 33 38 2e 30 34 37 30 33 31 20 6c 6f 6e 3d 2d 34 2e 30 34 31 36 37 38 20 61 67 65 5f 6d 73 3d 33 35 38 20 61 6c 74 5f 6d 3d 37 2e 34 0d 0a,38.047031,-4.041678,,7,1,
