ros_time,recv_time_utc,remote_host,latitud,longitud,altitud_m,satelites,hdop,fix_valido,esperando_fix,mensaje_gps,raw_hex,latitude,longitude,altitude,sats,fix_ok,waiting_for_fix
1782815440.569934,2026-06-30T10:30:40.570Z,100.93.178.118,38.046311,-4.04105,,5,1.9,1,,chars=213446 sentences_fix=2768 failed_checksum=0 sats=5 hdop=1.9 lat=38.046311 lon=-4.041050 age_ms=435 alt_m=-5.8,63 68 61 72 73 3d 32 31 33 34 34 36 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 32 37 36 38 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 35 20 68 64 6f 70 3d 31 2e 39 20 6c 61 74 3d 33 38 2e 30 34 36 33 31 31 20 6c 6f 6e 3d 2d 34 2e 30 34 31 30 35 30 20 61 67 65 5f 6d 73 3d 34 33 35 20 61 6c 74 5f 6d 3d 2d 35 2e 38 0d 0a,38.046311,-4.04105,,5,1,
1782815440.586258,2026-06-30T10:30:40.586Z,100.93.178.118,38.046326,-4.041117,,6,1.8,1,,chars=213597 sentences_fix=2770 failed_checksum=0 sats=6 hdop=1.8 lat=38.046326 lon=-4.041117 age_ms=422 alt_m=-8.1,63 68 61 72 73 3d 32 31 33 35 39 37 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 32 37 37 30 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 36 20 68 64 6f 70 3d 31 2e 38 20 6c 61 74 3d 33 38 2e 30 34 36 33 32 36 20 6c 6f 6e 3d 2d 34 2e 30 34 31 31 31 37 20 61 67 65 5f 6d 73 3d 34 32 32 20 61 6c 74 5f 6d 3d 2d 38 2e 31 0d 0a,38.046326,-4.041117,,6,1,
1782815440.587623,2026-06-30T10:30:40.587Z,100.93.178.118,38.046334,-4.041248,,5,1.9,1,,chars=213749 sentences_fix=2772 failed_checksum=0 sats=5 hdop=1.9 lat=38.046334 lon=-4.041248 age_ms=434 alt_m=-10.1,63 68 61 72 73 3d 32 31 33 37 34 39 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 32 37 37 32 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 35 20 68 64 6f 70 3d 31 2e 39 20 6c 61 74 3d 33 38 2e 30 34 36 33 33 34 20 6c 6f 6e 3d 2d 34 2e 30 34 31 32 34 38 20 61 67 65 5f 6d 73 3d 34 33 34 20 61 6c 74 5f 6d 3d 2d 31 30 2e 31 0d 0a,38.046334,-4.041248,,5,1,
1782815440.607376,2026-06-30T10:30:40.607Z,100.93.178.118,38.046355,-4.041391,,4,1.9,1,,chars=213901 sentences_fix=2774 failed_checksum=0 sats=4 hdop=1.9 lat=38.046355 lon=-4.041391 age_ms=449 alt_m=-10.1,63 68 61 72 73 3d 32 31 33 39 30 31 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 32 37 37 34 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 34 20 68 64 6f 70 3d 31 2e 39 20 6c 61 74 3d 33 38 2e 30 34 36 33 35 35 20 6c 6f 6e 3d 2d 34 2e 30 34 31 33 39 31 20 61 67 65 5f 6d 73 3d 34 34 39 20 61 6c 74 5f 6d 3d 2d 31 30 2e 31 0d 0a,38.046355,-4.041391,,4,1,
1782815440.608936,2026-06-30T10:30:40.609Z,100.93.178.118,38.046368,-4.041532,,4,1.9,1,,chars=214052 sentences_fix=2776 failed_checksum=0 sats=4 hdop=1.9 lat=38.046368 lon=-4.041532 age_ms=449 alt_m=-9.9,63 68 61 72 73 3d 32 31 34 30 35 32 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 32 37 37 36 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 34 20 68 64 6f 70 3d 31 2e 39 20 6c 61 74 3d 33 38 2e 30 34 36 33 36 38 20 6c 6f 6e 3d 2d 34 2e 30 34 31 35 33 32 20 61 67 65 5f 6d 73 3d 34 34 39 20 61 6c 74 5f 6d 3d 2d 39 2e 39 0d 0a,38.046368,-4.041532,,4,1,
1782815440.609917,2026-06-30T10:30:40.609Z,100.93.178.118,38.046376,-4.041672,,4,1.9,1,,chars=214203 sentences_fix=2778 failed_checksum=0 sats=4 hdop=1.9 lat=38.046376 lon=-4.041672 age_ms=449 alt_m=-9.3,63 68 61 72 73 3d 32 31 34 32 30 33 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 32 37 37 38 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 34 20 68 64 6f 70 3d 31 2e 39 20 6c 61 74 3d 33 38 2e 30 34 36 33 37 36 20 6c 6f 6e 3d 2d 34 2e 30 34 31 36 37 32 20 61 67 65 5f 6d 73 3d 34 34 39 20 61 6c 74 5f 6d 3d 2d 39 2e 33 0d 0a,38.046376,-4.041672,,4,1,
1782815440.610798,2026-06-30T10:30:40.610Z,100.93.178.118,38.046394,-4.041807,,4,1.9,1,,chars=214354 sentences_fix=2780 failed_checksum=0 sats=4 hdop=1.9 lat=38.046394 lon=-4.041807 age_ms=449 alt_m=-8.3,63 68 61 72 73 3d 32 31 34 33 35 34 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 32 37 38 30 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 34 20 68 64 6f 70 3d 31 2e 39 20 6c 61 74 3d 33 38 2e 30 34 36 33 39 34 20 6c 6f 6e 3d 2d 34 2e 30 34 31 38 30 37 20 61 67 65 5f 6d 73 3d 34 34 39 20 61 6c 74 5f 6d 3d 2d 38 2e 33 0d 0a,38.046394,-4.041807,,4,1,
1782815440.611602,2026-06-30T10:30:40.611Z,100.93.178.118,38.046408,-4.041954,,5,25.5,1,,chars=214507 sentences_fix=2782 failed_checksum=0 sats=5 hdop=25.5 lat=38.046408 lon=-4.041954 age_ms=431 alt_m=-12.1,63 68 61 72 73 3d 32 31 34 35 30 37 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 32 37 38 32 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 35 20 68 64 6f 70 3d 32 35 2e 35 20 6c 61 74 3d 33 38 2e 30 34 36 34 30 38 20 6c 6f 6e 3d 2d 34 2e 30 34 31 39 35 34 20 61 67 65 5f 6d 73 3d 34 33 31 20 61 6c 74 5f 6d 3d 2d 31 32 2e 31 0d 0a,38.046408,-4.041954,,5,1,
1782815440.620505,2026-06-30T10:30:40.620Z,100.93.178.118,38.046428,-4.04209,,5,25.5,1,,chars=214660 sentences_fix=2784 failed_checksum=0 sats=5 hdop=25.5 lat=38.046428 lon=-4.042090 age_ms=434 alt_m=-14.2,63 68 61 72 73 3d 32 31 34 36 36 30 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 32 37 38 34 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 35 20 68 64 6f 70 3d 32 35 2e 35 20 6c 61 74 3d 33 38 2e 30 34 36 34 32 38 20 6c 6f 6e 3d 2d 34 2e 30 34 32 30 39 30 20 61 67 65 5f 6d 73 3d 34 33 34 20 61 6c 74 5f 6d 3d 2d 31 34 2e 32 0d 0a,38.046428,-4.04209,,5,1,
1782815440.621675,2026-06-30T10:30:40.621Z,100.93.178.118,38.046441,-4.042207,,5,25.5,1,,chars=214813 sentences_fix=2786 failed_checksum=0 sats=5 hdop=25.5 lat=38.046441 lon=-4.042207 age_ms=434 alt_m=-15.9,63 68 61 72 73 3d 32 31 34 38 31 33 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 32 37 38 36 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 35 20 68 64 6f 70 3d 32 35 2e 35 20 6c 61 74 3d 33 38 2e 30 34 36 34 34 31 20 6c 6f 6e 3d 2d 34 2e 30 34 32 32 30 37 20 61 67 65 5f 6d 73 3d 34 33 34 20 61 6c 74 5f 6d 3d 2d 31 35 2e 39 0d 0a,38.046441,-4.042207,,5,1,
