ros_time,recv_time_utc,remote_host,latitud,longitud,altitud_m,satelites,hdop,fix_valido,esperando_fix,mensaje_gps,raw_hex,latitude,longitude,altitude,sats,fix_ok,waiting_for_fix
1782815800.78193,2026-06-30T10:36:40.782Z,100.93.178.118,38.047072,-4.042118,,8,2.3,1,,chars=269165 sentences_fix=3510 failed_checksum=0 sats=8 hdop=2.3 lat=38.047072 lon=-4.042118 age_ms=393 alt_m=-6.8,63 68 61 72 73 3d 32 36 39 31 36 35 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 33 35 31 30 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 38 20 68 64 6f 70 3d 32 2e 33 20 6c 61 74 3d 33 38 2e 30 34 37 30 37 32 20 6c 6f 6e 3d 2d 34 2e 30 34 32 31 31 38 20 61 67 65 5f 6d 73 3d 33 39 33 20 61 6c 74 5f 6d 3d 2d 36 2e 38 0d 0a,38.047072,-4.042118,,8,1,
1782815800.845624,2026-06-30T10:36:40.845Z,100.93.178.118,38.047072,-4.042118,,8,2.3,1,,chars=269314 sentences_fix=3512 failed_checksum=0 sats=8 hdop=2.3 lat=38.047072 lon=-4.042118 age_ms=392 alt_m=-6.7,63 68 61 72 73 3d 32 36 39 33 31 34 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 33 35 31 32 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 38 20 68 64 6f 70 3d 32 2e 33 20 6c 61 74 3d 33 38 2e 30 34 37 30 37 32 20 6c 6f 6e 3d 2d 34 2e 30 34 32 31 31 38 20 61 67 65 5f 6d 73 3d 33 39 32 20 61 6c 74 5f 6d 3d 2d 36 2e 37 0d 0a,38.047072,-4.042118,,8,1,
1782815800.848339,2026-06-30T10:36:40.848Z,100.93.178.118,38.047071,-4.042118,,8,2.3,1,,chars=269463 sentences_fix=3514 failed_checksum=0 sats=8 hdop=2.3 lat=38.047071 lon=-4.042118 age_ms=392 alt_m=-6.4,63 68 61 72 73 3d 32 36 39 34 36 33 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 33 35 31 34 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 38 20 68 64 6f 70 3d 32 2e 33 20 6c 61 74 3d 33 38 2e 30 34 37 30 37 31 20 6c 6f 6e 3d 2d 34 2e 30 34 32 31 31 38 20 61 67 65 5f 6d 73 3d 33 39 32 20 61 6c 74 5f 6d 3d 2d 36 2e 34 0d 0a,38.047071,-4.042118,,8,1,
1782815800.860031,2026-06-30T10:36:40.860Z,100.93.178.118,38.047071,-4.042118,,8,2.3,1,,chars=269612 sentences_fix=3516 failed_checksum=0 sats=8 hdop=2.3 lat=38.047071 lon=-4.042118 age_ms=389 alt_m=-6.3,63 68 61 72 73 3d 32 36 39 36 31 32 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 33 35 31 36 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 38 20 68 64 6f 70 3d 32 2e 33 20 6c 61 74 3d 33 38 2e 30 34 37 30 37 31 20 6c 6f 6e 3d 2d 34 2e 30 34 32 31 31 38 20 61 67 65 5f 6d 73 3d 33 38 39 20 61 6c 74 5f 6d 3d 2d 36 2e 33 0d 0a,38.047071,-4.042118,,8,1,
1782815800.86155,2026-06-30T10:36:40.861Z,100.93.178.118,38.04707,-4.042119,,8,2.3,1,,chars=269761 sentences_fix=3518 failed_checksum=0 sats=8 hdop=2.3 lat=38.047070 lon=-4.042119 age_ms=389 alt_m=-6.2,63 68 61 72 73 3d 32 36 39 37 36 31 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 33 35 31 38 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 38 20 68 64 6f 70 3d 32 2e 33 20 6c 61 74 3d 33 38 2e 30 34 37 30 37 30 20 6c 6f 6e 3d 2d 34 2e 30 34 32 31 31 39 20 61 67 65 5f 6d 73 3d 33 38 39 20 61 6c 74 5f 6d 3d 2d 36 2e 32 0d 0a,38.04707,-4.042119,,8,1,
1782815800.862662,2026-06-30T10:36:40.862Z,100.93.178.118,38.04707,-4.04212,,8,2.3,1,,chars=269910 sentences_fix=3520 failed_checksum=0 sats=8 hdop=2.3 lat=38.047070 lon=-4.042120 age_ms=388 alt_m=-6.1,63 68 61 72 73 3d 32 36 39 39 31 30 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 33 35 32 30 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 38 20 68 64 6f 70 3d 32 2e 33 20 6c 61 74 3d 33 38 2e 30 34 37 30 37 30 20 6c 6f 6e 3d 2d 34 2e 30 34 32 31 32 30 20 61 67 65 5f 6d 73 3d 33 38 38 20 61 6c 74 5f 6d 3d 2d 36 2e 31 0d 0a,38.04707,-4.04212,,8,1,
1782815800.864508,2026-06-30T10:36:40.864Z,100.93.178.118,38.047069,-4.04212,,8,2.3,1,,chars=270059 sentences_fix=3522 failed_checksum=0 sats=8 hdop=2.3 lat=38.047069 lon=-4.042120 age_ms=392 alt_m=-6.0,63 68 61 72 73 3d 32 37 30 30 35 39 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 33 35 32 32 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 38 20 68 64 6f 70 3d 32 2e 33 20 6c 61 74 3d 33 38 2e 30 34 37 30 36 39 20 6c 6f 6e 3d 2d 34 2e 30 34 32 31 32 30 20 61 67 65 5f 6d 73 3d 33 39 32 20 61 6c 74 5f 6d 3d 2d 36 2e 30 0d 0a,38.047069,-4.04212,,8,1,
1782815800.867717,2026-06-30T10:36:40.867Z,100.93.178.118,38.047069,-4.04212,,7,2.4,1,,chars=270208 sentences_fix=3524 failed_checksum=0 sats=7 hdop=2.4 lat=38.047069 lon=-4.042120 age_ms=401 alt_m=-5.9,63 68 61 72 73 3d 32 37 30 32 30 38 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 33 35 32 34 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 37 20 68 64 6f 70 3d 32 2e 34 20 6c 61 74 3d 33 38 2e 30 34 37 30 36 39 20 6c 6f 6e 3d 2d 34 2e 30 34 32 31 32 30 20 61 67 65 5f 6d 73 3d 34 30 31 20 61 6c 74 5f 6d 3d 2d 35 2e 39 0d 0a,38.047069,-4.04212,,7,1,
1782815800.905745,2026-06-30T10:36:40.906Z,100.93.178.118,38.047068,-4.042121,,7,2.4,1,,chars=270357 sentences_fix=3526 failed_checksum=0 sats=7 hdop=2.4 lat=38.047068 lon=-4.042121 age_ms=397 alt_m=-5.7,63 68 61 72 73 3d 32 37 30 33 35 37 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 33 35 32 36 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 37 20 68 64 6f 70 3d 32 2e 34 20 6c 61 74 3d 33 38 2e 30 34 37 30 36 38 20 6c 6f 6e 3d 2d 34 2e 30 34 32 31 32 31 20 61 67 65 5f 6d 73 3d 33 39 37 20 61 6c 74 5f 6d 3d 2d 35 2e 37 0d 0a,38.047068,-4.042121,,7,1,
1782815800.92166,2026-06-30T10:36:40.921Z,100.93.178.118,38.047067,-4.042122,,8,2.3,1,,chars=270506 sentences_fix=3528 failed_checksum=0 sats=8 hdop=2.3 lat=38.047067 lon=-4.042122 age_ms=389 alt_m=-5.6,63 68 61 72 73 3d 32 37 30 35 30 36 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 33 35 32 38 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 38 20 68 64 6f 70 3d 32 2e 33 20 6c 61 74 3d 33 38 2e 30 34 37 30 36 37 20 6c 6f 6e 3d 2d 34 2e 30 34 32 31 32 32 20 61 67 65 5f 6d 73 3d 33 38 39 20 61 6c 74 5f 6d 3d 2d 35 2e 36 0d 0a,38.047067,-4.042122,,8,1,
