ros_time,recv_time_utc,map_x,map_y,map_z,map_roll,map_pitch,map_yaw,distance_from_previous_m,distance_total_m
1782816930.627455,2026-06-30T10:55:30.627Z,0.029566735108828363,0.11817498307516883,-0.0012137738553935106,1.2228717956630803e-06,4.076224048901953e-09,0.07840540946148636,0.0,0.0
1782816933.127494,2026-06-30T10:55:33.127Z,0.026671873450765226,0.17409160174659963,0.001381790728644737,1.172134008089684e-06,9.045031413406082e-09,0.11683157772441083,0.05605163176193394,0.05605163176193394
1782816935.627273,2026-06-30T10:55:35.627Z,0.048137899874800515,0.22144758274896442,0.002152837886036164,1.1288709113947279e-06,1.4845662262335571e-08,0.14973206759111501,0.05199974750758544,0.10805137926951938
1782816937.627235,2026-06-30T10:55:37.627Z,0.04465808432106062,0.2827614549349896,0.006960909926285796,1.0790228979817727e-06,2.3340357932722186e-08,0.18784624279154288,0.06160046749397697,0.16965184676349634
1782816940.127686,2026-06-30T10:55:40.127Z,0.045537377953071806,0.34531068720498687,0.008899350532801867,1.0302690584868344e-06,3.355975762630438e-08,0.2253925943435181,0.0625854389362442,0.23223728569974056
1782816942.62867,2026-06-30T10:55:42.628Z,0.038543880023906116,0.39976269853246454,0.012266416019036608,9.23272001087315e-07,6.285108041926193e-08,0.3090274775087988,0.05500243340872834,0.2872397191084689
1782816946.127336,2026-06-30T10:55:46.127Z,0.04055755357422552,0.45534203035823345,0.013438234831084863,8.249657910640374e-07,9.856354767790149e-08,0.38787849188440804,0.055628141859084726,0.3428678609675536
1782816952.628208,2026-06-30T10:55:52.628Z,0.008918157907051685,0.5001869679385342,0.004524755947459806,6.649209132810346e-07,1.7687858325509348e-07,0.5222720944939026,0.05560188747312344,0.39846974844067706
1782816953.127529,2026-06-30T10:55:53.127Z,0.019190007753275368,0.4517011387847987,-0.00590902861403238,5.54955777173344e-07,2.476058162937371e-07,0.6208551967200499,0.05064830094153437,0.44911804938221145
1782816954.627392,2026-06-30T10:55:54.627Z,0.01957780694188767,0.5220406391744138,-0.005909028099626254,5.581038835433251e-07,2.4536120746620694e-07,0.6179411256369848,0.07034056939825944,0.5194586187804708
1782816955.628309,2026-06-30T10:55:55.628Z,0.012416100825516639,0.5716053678767068,-0.005909037601828604,5.610489317651755e-07,2.432738700037196e-07,0.6152204716262151,0.050079460518552554,0.5695380792990234
1782816956.627175,2026-06-30T10:55:56.627Z,-0.014150667274723113,0.6221181342006905,-0.005909072850569838,5.672299424100438e-07,2.389319559384809e-07,0.6095273339804999,0.057073047307766404,0.6266111266067899
1782816958.128083,2026-06-30T10:55:58.130Z,-0.046516675875683346,0.6704738161246535,-0.00590911579371002,5.852190378901014e-07,2.2659039582704193e-07,0.5930847966727792,0.058187889522569536,0.6847990161293593
1782816959.627167,2026-06-30T10:55:59.627Z,-0.09087304247111047,0.7112041129373058,-0.005909174645582522,5.540183433273161e-07,2.4827688725429357e-07,0.6217241132315845,0.060219966257032555,0.7450189823863919
1782816961.62668,2026-06-30T10:56:01.626Z,-0.13576853337928324,0.7460922612076002,-0.005909234212752178,5.207213121843893e-07,2.7293054385020536e-07,0.6529514634665337,0.056857611571533836,0.8018765939579257
1782816963.12866,2026-06-30T10:56:03.128Z,-0.11171466962549048,0.80192497293782,-0.005909202298306812,5.080320657087405e-07,2.827584392619783e-07,0.6650484049376196,0.06079375017743898,0.8626703441353646
1782816965.12723,2026-06-30T10:56:05.127Z,-0.10923769152901344,0.8826328773281458,-0.005909199012006947,5.037480255007827e-07,2.861323454024149e-07,0.6691583836134569,0.08074590547865824,0.9434162496140228
1782816966.127417,2026-06-30T10:56:06.127Z,-0.10485597937787093,0.9356972774326806,-0.005909193198467074,4.938740607941453e-07,2.940182610445465e-07,0.6786825501974607,0.05324499938801446,0.9966612490020372
1782816968.127154,2026-06-30T10:56:08.127Z,-0.0743670842650008,0.9819198045384994,-0.00590915274603791,4.887883027735569e-07,2.9814060764848877e-07,0.683616741901251,0.05537232826289122,1.0520335772649285
1782816970.12723,2026-06-30T10:56:10.127Z,-0.0649675256042976,1.0347481635920701,-0.005909140274844563,4.870864952751737e-07,2.995293525166447e-07,0.6852722609098856,0.05365805832593225,1.1056916355908608
1782816972.127205,2026-06-30T10:56:12.127Z,-0.08648764521433921,1.143910999609551,-0.005909168827821491,5.350025643323017e-07,2.6215899630681145e-07,0.6394692504462246,0.11126383201836396,1.2169554676092247
1782816973.127274,2026-06-30T10:56:13.127Z,0.06263271990608166,1.0907512072215368,0.021766004363759153,3.7400369840226104e-07,4.0344575899646274e-07,0.801088436847397,0.16071329139672416,1.3776687590059489
1782816974.127191,2026-06-30T10:56:14.127Z,0.11997987624487925,1.2594968872830632,0.021873193723328202,3.865412707575885e-07,3.906817535061148e-07,0.7876034820134292,0.17822405104006672,1.5558928100460157
1782816975.126933,2026-06-30T10:56:15.127Z,0.08086326381653361,1.2835791230206965,0.05071274489003388,5.959456746914965e-07,2.1943582546278046e-07,0.5833667957839658,0.05423820754310917,1.6101310175891248
1782816976.627225,2026-06-30T10:56:16.627Z,0.031411230664745694,1.2998179972653132,0.04468403453671337,7.40319248864096e-07,1.3665582395526965e-07,0.45785288453684797,0.0523979958405113,1.6625290134296362
1782816979.127335,2026-06-30T10:56:19.127Z,-0.0006185247766559634,1.3471251734368923,0.044192913096699336,6.618618389421523e-07,1.7864476419854615e-07,0.5249343955574375,0.05713243694464346,1.7196614503742798
1782816981.12715,2026-06-30T10:56:21.127Z,-0.060623464514354734,1.3730940431054843,0.04599268513836748,6.1140052643946e-07,2.0938915440516685e-07,0.5694735491332853,0.0654080588627361,1.785069509237016
1782816982.6266,2026-06-30T10:56:22.626Z,-0.07668092013345751,1.3223354641754044,0.04695627722443003,5.952489519767628e-07,2.1989597245464563e-07,0.5839961016235037,0.05324663112037169,1.8383161403573876
1782816984.12713,2026-06-30T10:56:24.127Z,-0.124347743259409,1.3426026563639168,0.048697641908507616,5.79547007572147e-07,2.3043487821423723e-07,0.5982492411193371,0.051825837736497786,1.8901419780938853
1782816985.127261,2026-06-30T10:56:25.127Z,-0.18967854889412064,1.375278605356842,0.04936924369513522,5.485197643840691e-07,2.52238003589656e-07,0.6268317544516716,0.07304986554695715,1.9631918436408424
1782816987.127321,2026-06-30T10:56:27.127Z,-0.26347214008485953,1.3632538238102254,0.060651843106190664,5.15868510886831e-07,2.7666009840194887e-07,0.6575643861349855,0.07561340173236551,2.038805245373208
1782816988.127289,2026-06-30T10:56:28.127Z,-0.33888834791202305,1.3658449377804536,0.06362997480222833,5.095188708895172e-07,2.815941525150796e-07,0.6636251056250296,0.07551945142170709,2.114324696794915
1782816992.626655,2026-06-30T10:56:32.626Z,-0.39438133510430157,1.3233323561500496,0.08098320490499394,4.2627383680325777e-07,3.523994334010877e-07,0.7460157716329263,0.07202725747523417,2.1863519542701493
