ros_time,recv_time_utc,map_x,map_y,map_z,map_roll,map_pitch,map_yaw,latitud,longitud,altitud_m,satelites,hdop,fix_valido,esperando_fix,mensaje_gps,latitude,longitude,altitude,sats,fix_ok,waiting_for_fix,gps_text,tf_ok,doback_ok,doback_age_sec,doback_ax,doback_ay,doback_az,doback_gx,doback_gy,doback_gz,doback_roll,doback_pitch,doback_yaw,doback_si,doback_accmag
1782389685.683859,2026-06-25T12:14:45.684Z,,,,,,,,,,0,,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,,,,0,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,0,1,0.006386995315551758,-186.90,-16.84,997.47,-3921.31,13837.08,-15759.01,73629.12,-27342.73,8398.01,-0.59,1014.97
1782389686.627219,2026-06-25T12:14:46.627Z,,,,,,,,,,0,,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,,,,0,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,0,1,0.8359239101409912,-187.15,-16.84,997.47,-3908.19,13780.20,-15763.39,73628.94,-27342.73,8411.67,-0.60,1015.02
1782389687.581634,2026-06-25T12:14:47.582Z,,,,,,,,,,0,,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,,,,0,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,0,1,0.6501939296722412,-187.64,-16.96,997.35,-3650.06,13574.58,-15815.89,73628.77,-27342.72,8431.19,-0.60,1014.99
1782389688.602243,2026-06-25T12:14:48.602Z,,,,,,,,,,0,,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,,,,0,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,0,1,0.5308680534362793,-186.66,-16.47,998.33,-3768.19,13723.33,-15763.39,73628.57,-27342.80,8450.68,-0.59,1015.76
1782389689.624101,2026-06-25T12:14:49.624Z,,,,,,,,,,0,,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,,,,0,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,0,1,0.4131338596343994,-187.64,-16.59,998.20,-3785.69,13648.95,-15776.51,73628.41,-27342.94,8470.12,-0.60,1015.82
1782389690.583783,2026-06-25T12:14:50.584Z,,,,,,,,,,0,,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,,,,0,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,0,1,0.25293779373168945,-187.88,-16.47,998.81,-3667.56,13557.08,-15759.01,73628.23,-27342.97,8489.08,-0.60,1016.46
1782389691.602619,2026-06-25T12:14:51.603Z,,,,,,,,,,0,,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,,,,0,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,0,1,0.1512758731842041,-187.39,-17.32,997.84,-3610.69,13535.20,-15767.76,73628.12,-27343.06,8508.08,-0.60,1015.43
1782389692.627854,2026-06-25T12:14:52.628Z,,,,,,,,,,0,,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,,,,0,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,0,1,0.05637812614440918,-186.78,-16.84,997.47,-3728.81,13692.70,-15772.14,73628.01,-27343.22,8527.03,-0.59,1014.95
1782389693.583645,2026-06-25T12:14:53.584Z,,,,,,,,,,0,,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,,,,0,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,0,1,0.003286123275756836,-187.51,-16.59,997.72,-3860.06,13701.45,-15789.64,73628.02,-27343.27,8530.89,-0.60,1015.32
